,Compound,Negative,Neutral,Positive,Time of Tweet,Tweet,Tweet Count,User
0,0.6467,0.72,0.0,0.28,Mon Apr 09 01:42:06 +0000 2018,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq,100,@CBS
1,0.7345,0.85,0.0,0.15,Sun Apr 08 22:00:01 +0000 2018,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven days away! Tune in to the 53rd #ACMawards on April 15 at 8/7c on CBS and CBS All Access. https://t.co/GNkjCGBTXJ,100,@CBS
2,0.5562,0.86,0.0,0.14,Sun Apr 08 18:38:13 +0000 2018,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access: https://t.co/dZhmtYXelS https://t.co/4px5IVYa0O,100,@CBS
3,0.4199,0.92,0.0,0.08,Sun Apr 08 15:00:00 +0000 2018,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in April 15 at 8/7c on CBS and CBS All Access. https://t.co/VpuZ2TKDjI",100,@CBS
4,0.8313,0.799,0.0,0.201,Sat Apr 07 19:35:08 +0000 2018,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters Tournament on CBS live with a free trial of CBS All Access: https://t.co/dZhmtYXelS https://t.co/X056P9QZLm,100,@CBS
5,0.0,1.0,0.0,0.0,Sat Apr 07 18:28:03 +0000 2018,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at 8/7c on CBS and CBS All Access! https://t.co/nFXSqL1n7T,100,@CBS
6,0.4199,0.924,0.0,0.076,Sat Apr 07 16:30:02 +0000 2018,"What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing along on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/E8L60s0vPu",100,@CBS
7,0.4389,0.928,0.0,0.072,Sat Apr 07 15:31:12 +0000 2018,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still Standing—A GRAMMY® Salute on Tuesday, Apr. 10 at 9/8c on CBS and CBS All Access. See a preview of the stunning performances: https://t.co/cjYYdvNCoE #EltonSalute https://t.co/CRzZou4ITd",100,@CBS
8,0.0,1.0,0.0,0.0,Fri Apr 06 21:10:18 +0000 2018,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she takes to Facebook Live! Write in your questions below. https://t.co/gGFkY5KIxU,100,@CBS
9,0.0,1.0,0.0,0.0,Fri Apr 06 17:00:00 +0000 2018,"What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time? Test your knowledge in this quiz. Watch Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday, April 10 at 9/8c on CBS and CBS All Access. #EltonSalute https://t.co/fUk6GJCYl3",100,@CBS
10,0.3164,0.959,0.0,0.041,Fri Apr 06 13:45:00 +0000 2018,"Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance to have it answered during her Facebook Live chat on April 11 at 5:30p ET/2:30p PT. Watch the 53rd #ACMawards on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/SbZJX242Px",100,@CBS
11,0.6964,0.883,0.0,0.117,Thu Apr 05 21:44:00 +0000 2018,"How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year® with this quiz! Plus, don't forget to tune in to the 53rd #ACMawards, hosted by the one and only @reba, on Sunday, Apr. 15 at 8/7c on CBS and CBS All Access. https://t.co/WykiA8KUUr",100,@CBS
12,0.6597,0.759,0.0,0.241,Thu Apr 05 19:07:48 +0000 2018,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh",100,@CBS
13,-0.3875,0.88,0.082,0.038,Thu Apr 05 17:00:00 +0000 2018,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday, April 10 at 9/8c on CBS and CBS All Access. #EltonSalute https://t.co/Swlw2OoROd",100,@CBS
14,0.8217,0.844,0.0,0.156,Wed Apr 04 22:07:01 +0000 2018,"Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dropping on April 6! Watch Elton John: I'm Still Standing—A GRAMMY® Salute on Tuesday, Apr. 10 at 9/8c on CBS and CBS All Access: https://t.co/eAvlZ3IDdY #EltonSalute https://t.co/RkLnBpV8AL",100,@CBS
15,0.7568,0.712,0.0,0.288,Wed Apr 04 21:48:07 +0000 2018,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! 😂

Introducing Laughing To Pieces! Foll…",100,@CBS
16,0.8495,0.634,0.0,0.366,Wed Apr 04 21:47:26 +0000 2018,"RT @YoungSheldon: Don't miss guest star @Followtheblonde in tomorrow's all-new #YoungSheldon! Trust us, you're going to love every minute.…",100,@CBS
17,0.4926,0.803,0.0,0.197,Wed Apr 04 21:46:13 +0000 2018,RT @MomCBS: Tomorrow's episode of #Mom is going to be a doggone good one! https://t.co/e1WI3uOxVg,100,@CBS
18,-0.3182,0.905,0.095,0.0,Wed Apr 04 21:44:17 +0000 2018,RT @survivorcbs: There's a lot at stake when competing for actual steak. Get a glimpse at an all-new #Survivor: Ghost Island at 8/7c on CBS…,100,@CBS
19,-0.25,0.867,0.133,0.0,Wed Apr 04 18:02:13 +0000 2018,RT @TVLine: #LifeInPieces Sneak Peek: Sophia and Her Stuffed Toys Stage a Musical Protest https://t.co/r16SLZlZPc,100,@CBS
20,0.6239,0.911,0.0,0.089,Tue Apr 03 23:00:00 +0000 2018,"Whose catchy tune will take Song Of The Year at the 53rd #ACMawards? Give it up for the four nominees - @SamHuntMusic, @KeithUrban, @mirandalambert, and @ChrisStapleton. Find out who will win on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/nZwgJ0I1z3",100,@CBS
21,0.0,1.0,0.0,0.0,Tue Apr 03 21:00:02 +0000 2018,"Here's everything you need to know before tuning into Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday, April 10 on CBS: https://t.co/kydcW3yyiD #EltonSalute https://t.co/oAmOKpP2Bc",100,@CBS
22,0.7096,0.877,0.0,0.123,Tue Apr 03 18:00:00 +0000 2018,"In just one week, @eltonofficial and today's hottest stars in music will join together to celebrate Elton's countless tunes and five-decade career. Watch Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday, April 10 at 9/8c on CBS and CBS All Access. #EltonSalute https://t.co/AAfr8a38l3",100,@CBS
23,0.807,0.659,0.0,0.341,Tue Apr 03 05:17:01 +0000 2018,Tonight we #LightItUpBlue for greater understanding and acceptance. CBS supports #WorldAutismAwarenessDay by lighting up our offices in blue! https://t.co/pV8DIqpWpp,100,@CBS
24,0.1513,0.884,0.051,0.065,Mon Apr 02 17:30:00 +0000 2018,"No one does it quite like @eltonofficial. The artist himself will belt out some of his chart-topping hits on Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday, April 10 at 9/8c on CBS and CBS All Access. #EltonSalute https://t.co/ZFN4qNIA6R",100,@CBS
