,Compound,Negative,Neutral,Positive,Tweet,Tweet Count,User
0,0.0,1.0,0.0,0.0,Hungary's Euroskeptic leader Orban claims victory https://t.co/TCOwkEp1tR https://t.co/bOB92B3SNF,100,@CNN
1,0.0,1.0,0.0,0.0,Designing for hedonists: The evolution of nightclub interiors https://t.co/CBgVJaCtfg via @CNNStyle https://t.co/LDOsfa3zmV,100,@CNN
2,-0.6249,0.611,0.389,0.0,"Muenster van attack driver acted alone, police say https://t.co/lI5QGWerel https://t.co/RT0vGrdhVP",100,@CNN
3,0.0,1.0,0.0,0.0,US military resumes air operations in Djibouti https://t.co/Pdgu67UR2M https://t.co/760nXrhQ2x,100,@CNN
4,-0.3818,0.822,0.178,0.0,Here's everything you need to know about the US-China trade battle https://t.co/tNuqnPsOGC https://t.co/GB5qEQUC0L,100,@CNN
5,0.0,1.0,0.0,0.0,Chicago attorney general to oversee FBI document release to House https://t.co/fEPioN0wBI,100,@CNN
6,-0.3182,0.628,0.246,0.126,Syria attack response looms over John Bolton's first week as national security adviser https://t.co/fl4Bp3ZLry https://t.co/KYikDpaZs8,100,@CNN
7,0.7579,0.69,0.056,0.255,Life coach Tony Robbins apologized for his comments about the #MeToo movement after suggesting during a March event that some women use it to gain significance by playing the victim https://t.co/mexMHtUXiR https://t.co/nnfOyD8VDs,100,@CNN
8,0.0,1.0,0.0,0.0,"Donald Trump always strives to command center stage, but the US President is now embroiled in so many escalating global and domestic tests of will, it's becoming impossible to keep count | Analysis by @StCollinson https://t.co/SLmWACwExm",100,@CNN
9,0.0258,0.948,0.0,0.052,"Republican Sen. John McCain says President Trump ""emboldened"" Syrian leader Bashar al-Assad with comments on US withdrawal from Syria https://t.co/nxKUCpus6B https://t.co/6mI4e92RCa",100,@CNN
10,-0.296,0.864,0.136,0.0,"Gun-toting congressman is right. He's no Gabby Giffords, writes Steven Lubet for @CNNopinion https://t.co/r3Hc3qozvq https://t.co/hSKe7m7mFz",100,@CNN
11,0.0,1.0,0.0,0.0,"Stormy Daniels' attorney has once again filed a motion to depose President Donald Trump and his lawyer, Michael Cohen, to ask about a $130,000 payout before the 2016 election. https://t.co/M3bhNUnfin https://t.co/XJaTU1hCsA",100,@CNN
12,0.0,1.0,0.0,0.0,Advocacy groups claim YouTube illegally collects data from kids https://t.co/QCRos9j9zU https://t.co/XQJopsUpyZ,100,@CNN
13,0.0,1.0,0.0,0.0,"How President Trump might counter ""Animal Assad"" https://t.co/JV1pyA51ol | via @CNNOpinion https://t.co/t7XFqzLqbY",100,@CNN
14,0.0,1.0,0.0,0.0,"Introducing North Korea's international marathon. 

This year marked the 29th edition of the race and the fifth year foreign amateurs have been allowed to participate. https://t.co/S7p2iacGXg",100,@CNN
15,-0.7906,0.632,0.368,0.0,Son of former NHL player among those dead in Canadian bus crash https://t.co/SePZhXmO2i https://t.co/1HCmp80tnr,100,@CNN
16,-0.4019,0.863,0.137,0.0,"Deutsche Bank, Germany's biggest lender, is getting rid of its CEO after years of heavy losses. https://t.co/DtXuIltHLz https://t.co/S5YXv3S54g",100,@CNN
17,0.5859,0.759,0.0,0.241,16-year-old breaks Commonwealth Games record to win shooting gold for India https://t.co/YVodGmbBMz https://t.co/Z57prB4fri,100,@CNN
18,-0.5719,0.764,0.236,0.0,"""A Quiet Place"" leads box office as horror keeps making noise https://t.co/C5Oue5iE04 https://t.co/nCJFLfnSg1",100,@CNN
19,0.0,1.0,0.0,0.0,4 questions Congress must ask Facebook CEO Mark Zuckerberg https://t.co/ztOyDVSmee https://t.co/aT3O8TErH8,100,@CNN
