,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Temp,Wind Speed
0,Pevek,0,RU,1522645955,74,69.7,170.27,27.94,27.94,15.23
1,Provideniya,75,RU,1522643400,100,64.42,-173.23,32.0,32.0,6.71
2,Baijiantan,8,CN,1522645957,91,45.63,85.18,40.09,40.09,6.85
3,Airai,32,TL,1522645958,73,-8.93,125.41,80.95,80.95,0.58
4,Hasaki,40,JP,1522643400,56,35.73,140.83,71.6,68.27,11.41
5,Bama,64,CN,1522645951,70,24.14,107.25,79.96,79.96,5.61
6,Geraldton,90,CA,1522643940,85,49.72,-86.95,15.8,15.8,6.93
7,Buala,92,SB,1522645952,89,-8.15,159.59,83.11,83.11,4.94
8,Ushuaia,75,AR,1522641600,81,-54.81,-68.31,48.2,48.2,3.36
9,Puerto Ayora,8,EC,1522645952,100,-0.74,-90.35,76.0,76.0,4.72
10,Marystown,92,CA,1522645953,93,47.17,-55.16,39.28,39.28,25.19
11,Mastic Beach,1,US,1522644960,51,40.77,-72.85,41.0,37.96,10.87
12,Hilo,20,US,1522641180,78,19.71,-155.08,77.0,77.0,11.41
13,Bambous Virieux,40,MU,1522641600,83,-20.34,57.76,82.4,82.4,10.29
14,Mataura,56,NZ,1522645955,52,-46.19,168.86,66.1,66.1,17.69
15,Bluff,64,AU,1522645963,48,-23.58,149.07,86.26,86.26,18.48
16,Busselton,0,AU,1522645956,79,-33.64,115.35,76.09,76.09,6.62
17,Cape Town,0,ZA,1522641600,93,-33.93,18.42,59.0,59.0,4.7
18,Atar,0,MR,1522645957,49,20.52,-13.05,55.93,55.93,4.94
19,Punta Arenas,90,CL,1522641600,87,-53.16,-70.91,48.2,48.2,14.99
20,Ozernovskiy,76,RU,1522645958,88,51.5,156.52,26.86,26.86,5.28
21,Rikitea,0,PF,1522645738,100,-23.12,-134.97,79.33,79.33,7.18
22,Westport,90,IE,1522645200,93,53.8,-9.52,35.6,35.6,17.22
23,Nouadhibou,40,MR,1522641600,82,20.93,-17.03,62.6,62.6,12.75
24,Lebu,0,ET,1522645959,44,8.96,38.73,66.1,66.1,4.16
25,Albany,75,US,1522644840,54,42.65,-73.75,30.2,28.87,3.15
26,Voh,92,NC,1522645968,89,-20.95,164.69,81.4,81.4,12.66
27,Milkovo,0,BG,1522645200,65,41.53,24.68,50.0,48.13,16.11
28,Narsaq,0,GL,1522645961,75,60.91,-46.05,19.84,19.84,8.97
29,Upernavik,32,GL,1522645961,83,72.79,-56.15,19.03,19.03,9.86
30,Barrow,8,AR,1522645962,89,-38.31,-60.23,47.47,47.47,3.38
31,Iqaluit,90,CA,1522641600,85,63.75,-68.52,10.4,10.4,5.82
32,Jalu,0,LY,1522645391,49,29.03,21.55,62.05,62.05,14.79
33,Marfino,40,RU,1522643400,93,56.07,37.56,37.4,37.4,13.42
34,Laguna,0,MX,1522645964,60,27.52,-110.01,62.41,62.41,2.37
35,Riviere-au-Renard,20,CA,1522641600,53,49.0,-64.4,26.6,26.6,18.34
36,Martapura,24,ID,1522645973,70,-3.41,114.85,88.6,88.6,10.42
37,Camacha,20,PT,1522645200,82,33.08,-16.33,60.8,58.78,11.41
38,Dikson,48,RU,1522645966,100,73.51,80.55,3.73,3.73,12.55
39,Dodoma,44,TZ,1522645870,81,-6.18,35.75,70.78,70.78,4.5
40,East London,0,ZA,1522641600,88,-33.02,27.91,69.8,69.8,9.17
41,Qaanaaq,68,GL,1522645967,87,77.48,-69.36,8.23,8.23,1.7
42,Mahebourg,40,MU,1522641600,83,-20.41,57.7,82.4,82.4,10.29
43,Tura,0,IN,1522645968,59,25.52,90.21,84.73,84.73,3.71
44,Esna,36,RO,1522645977,79,45.2,27.57,48.82,48.82,8.97
45,Papanasam,40,IN,1522645200,59,10.93,79.27,91.4,91.4,3.36
46,Taoudenni,68,ML,1522645969,40,22.68,-3.98,65.29,65.29,6.17
47,Saint-Pierre,0,FR,1522645200,80,48.95,4.24,39.2,39.2,10.29
48,Saint-Philippe,75,CA,1522644900,63,45.36,-73.48,30.2,29.71,2.82
49,Klaksvik,56,FO,1522644600,86,62.23,-6.59,26.6,26.6,3.36
50,Mikuni,75,JP,1522641600,45,36.22,136.15,68.0,68.0,13.87
51,New Norfolk,0,AU,1522645200,28,-42.78,147.06,68.0,68.0,8.05
52,Calabozo,20,VE,1522645982,64,8.92,-67.43,77.98,77.98,11.65
53,Ambilobe,20,MG,1522645974,100,-13.19,49.05,77.35,77.35,2.93
54,Mangrol,0,IN,1522645983,26,25.33,76.51,97.51,97.51,4.61
55,Banda Aceh,36,ID,1522645984,100,5.56,95.32,80.23,80.23,3.38
56,Tuatapere,36,NZ,1522645976,82,-46.13,167.69,61.96,61.96,17.81
57,Khudumelapye,64,BW,1522645985,99,-23.91,24.95,64.03,64.03,9.53
58,Chuy,0,UY,1522645986,94,-33.69,-53.46,67.36,67.36,13.78
